YEAR,Balance Of Payment,GDP,Political Stability,US Inflation,Ukraine Inflation,Real Interest Rate,Exchange Rate
1996,-1184000000,4.46E+10,-0.15,2.931204,80.3255,8.268450495,1.82946856
1997,-1335000000,5.02E+10,-0.135,2.33769,15.9406,26.29107592,1.86165833
1998,-1296000000,4.19E+10,-0.12,1.552279,10.57716,37.92865243,2.44954167
1999,1658000000,3.16E+10,-0.265,2.188027,22.68367,21.62683606,4.13044167
2000,1342000000,3.24E+10,-0.41,3.376857,28.2031,11.00145696,5.44023333
2001,1324000000,3.93E+10,-0.355,2.826171,11.95881,20.03346247,5.37215833
2002,3180000000,4.40E+10,-0.3,1.586032,0.757421,19.09263919,5.326625
2003,2901000000,5.20E+10,-0.36,2.270095,5.179678,8.996081274,5.33268833
2004,6911000000,6.72E+10,-0.47,2.677237,9.048068,1.812917672,5.31918067
2005,2534000000,8.92E+10,-0.29,3.392747,13.56958,-6.38367732,5.124729
2006,-1619000000,1.12E+11,-0.04,3.225944,9.052525,0.275719909,5.05
2007,-5251000000,1.49E+11,0.17,2.852672,12.83878,-7.28020736,5.05
2008,-12781000000,1.88E+11,0.04,3.8391,25.22646,-8.93474205,5.26722142
2009,-1736000000,1.22E+11,-0.3,-0.35555,15.88119,7.310138996,7.79124033
2010,-3016000000,1.41E+11,0.01,1.640043,9.372931,1.931117374,7.93563942
2011,-10233000000,1.69E+11,-0.07,3.156842,7.955725,1.546056077,7.96756283
2012,-14335000000,1.83E+11,-0.09,2.069337,0.568728,9.640126562,7.99102933
2013,-16518000000,1.90E+11,-0.78,1.464833,-0.23895,11.83064836,7.993
2014,-4596000000,1.34E+11,-2.02,1.622223,12.07186,1.567106915,11.8866594
2015,5035000000,9.10E+10,-1.96,0.118627,48.69986,-12.282929,21.8446978
2016,-1866000000,9.34E+10,-1.86,1.261583,13.91271,1.827569688,25.5513341
2017,-3473000000,1.12E+11,-1.87,2.13011,14.43832,-4.68048423,26.5966063
2018,-6432000000,1.31E+11,-1.87,2.442583,10.95186,3.125121817,27.2004923
2019,-4124000000,1.54E+11,-1.42,1.81221,7.886717,10.69365877,25.8455893
2020,5267000000,1.57E+11,-1.16,1.233584,2.732492,3.624332691,26.9575244
2021,-2639000000,2.00E+11,,4.697859,,-9.40956516,27.2861894
